SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,Timestamp,timeIntervalSince1970,GyroX,GyroY,GyroZ,AccX,AccY,AccZ,MagX,MagY,MagZ,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.3780,1662465634.3777928,-0.0009819074939122151,-0.008211857221259332,-0.006009689315872809,-0.004058837890625,-0.0089569091796875,-1.003753662109375,99.20245361328125,-61.602081298828125,-68.75569152832031,2022-09-06 20:00:34.1340,1662465634.134385,0.21527299284934998,-0.3202080726623535,0.26898711919784546,-0.1326141357421875,-0.1543426513671875,-0.99371337890625,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.3780,1662465634.3777928,-0.0009819074939122151,-0.008211857221259332,-0.006009689315872809,-0.004058837890625,-0.0089569091796875,-1.003753662109375,99.20245361328125,-61.602081298828125,-68.75569152832031,2022-09-06 20:00:34.1340,1662465634.13445,0.25352025032043457,-0.3576989769935608,0.31057438254356384,-0.1236724853515625,-0.1225433275103569,-1.001190185546875,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.3950,1662465634.394779,0.0017923074136233274,-0.00474601937863021,-0.008233162509979965,-0.0014801025390625,-0.007965087890625,-1.004150390625,99.20245361328125,-61.602081298828125,-68.75569152832031,2022-09-06 20:00:34.1340,1662465634.1344628,0.3323780298233032,-0.40121209621429443,0.3444264829158783,-0.1435394585132599,-0.1365509331226349,-0.971954345703125,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.3950,1662465634.394779,0.0017923074136233274,-0.00474601937863021,-0.008233162509979965,-0.0014801025390625,-0.007965087890625,-1.004150390625,99.20245361328125,-61.602081298828125,-68.75569152832031,2022-09-06 20:00:34.1650,1662465634.1653981,0.21031898260116577,-0.3779597580432892,0.3118991255760193,-0.14950565993785858,-0.17913822829723358,-0.966552734375,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4110,1662465634.4114509,0.0004982774399538254,-0.004505535932196055,-0.008798551609403788,-0.003662109375,-0.0092926025390625,-1.005157470703125,99.32951354980469,-61.7855224609375,-68.45869445800781,2022-09-06 20:00:34.1930,1662465634.193211,0.12389007955789566,-0.379159539937973,0.3466072082519531,-0.15815740823745728,-0.17114263772964478,-0.9593810439109802,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4110,1662465634.4114509,0.0004982774399538254,-0.004505535932196055,-0.008798551609403788,-0.003662109375,-0.0092926025390625,-1.005157470703125,99.32951354980469,-61.7855224609375,-68.45869445800781,2022-09-06 20:00:34.2230,1662465634.223218,0.23314200341701508,-0.4061890244483948,0.36921146512031555,-0.14729318022727966,-0.15040597319602966,-0.9655914306640625,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4270,1662465634.427424,0.003789944547291764,-0.0035923379944078843,-0.007267500298717233,-0.003204345703125,-0.009429931640625,-1.0055389404296875,99.281005859375,-61.58917236328125,-69.0712890625,2022-09-06 20:00:34.2530,1662465634.253031,0.24378053843975067,-0.40462279319763184,0.3823355436325073,-0.16844189167022705,-0.16578686237335205,-0.9329833984375,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4270,1662465634.427424,0.003789944547291764,-0.0035923379944078843,-0.007267500298717233,-0.003204345703125,-0.009429931640625,-1.0055389404296875,99.281005859375,-61.58917236328125,-69.0712890625,2022-09-06 20:00:34.2830,1662465634.283004,0.061339084059000015,-0.3152415156364441,0.3506762981414795,-0.19006362557411194,-0.18571487069129944,-0.888671875,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4440,1662465634.444428,0.00526293894621459,-0.0002324939631639175,-0.006508233071935642,-0.003204345703125,-0.011016845703125,-1.0053863525390625,99.16096496582031,-61.84600830078125,-69.33056640625,2022-09-06 20:00:34.3130,1662465634.3128219,0.24243882298469543,-0.2381078451871872,0.3941017985343933,-0.20045487582683563,-0.15135209262371063,-0.9083251953125,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4440,1662465634.444428,0.00526293894621459,-0.0002324939631639175,-0.006508233071935642,-0.003204345703125,-0.011016845703125,-1.0053863525390625,99.16096496582031,-61.84600830078125,-69.33056640625,2022-09-06 20:00:34.3430,1662465634.342939,0.31405308842658997,-0.17905518412590027,0.37261834740638733,-0.2086489200592041,-0.2024843543767929,-0.9377898573875427,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4610,1662465634.461201,0.002177666823357793,-0.005080246095435155,-0.0068682924513143555,-0.0027923583984375,-0.0111236572265625,-1.007110595703125,99.19975280761719,-61.72709655761719,-69.29261779785156,2022-09-06 20:00:34.3730,1662465634.372585,0.14338494837284088,-0.1532512754201889,0.34176182746887207,-0.2009585052728653,-0.1886904388666153,-0.9509735107421875,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4610,1662465634.461201,0.002177666823357793,-0.005080246095435155,-0.0068682924513143555,-0.0027923583984375,-0.0111236572265625,-1.007110595703125,99.19975280761719,-61.72709655761719,-69.29261779785156,2022-09-06 20:00:34.4030,1662465634.402612,0.20990271866321564,-0.13391193747520447,0.3027290403842926,-0.2103884369134903,-0.1576388031244278,-0.9349669814109802,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4780,1662465634.477581,-0.00028202875943939134,-0.006776147077597614,-0.008262457281970836,-0.0021209716796875,-0.0106353759765625,-1.00677490234375,99.25807189941406,-61.4188232421875,-69.26416015625,2022-09-06 20:00:34.4370,1662465634.437334,0.10194270312786102,-0.08909440785646439,0.2662913501262665,-0.23011811077594757,-0.19688445329666138,-0.9401244521141052,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4780,1662465634.477581,-0.00028202875943939134,-0.006776147077597614,-0.008262457281970836,-0.0021209716796875,-0.0106353759765625,-1.00677490234375,99.25807189941406,-61.4188232421875,-69.26416015625,2022-09-06 20:00:34.4620,1662465634.462286,0.14337269961833954,-0.07138358801603317,0.2743755280971527,-0.24235565960407257,-0.17243987321853638,-0.9537200331687927,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4950,1662465634.494523,-0.0020897825073851782,-0.013040967225900013,-0.01080178138136139,-0.0029754638671875,-0.0101165771484375,-1.0068206787109375,99.25807189941406,-61.4188232421875,-69.26416015625,2022-09-06 20:00:34.4920,1662465634.492204,0.11300760507583618,-0.06143161281943321,0.21434231102466583,-0.25328095257282257,-0.19450406730175018,-0.9433287978172302,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.4950,1662465634.494523,-0.0020897825073851782,-0.013040967225900013,-0.01080178138136139,-0.0029754638671875,-0.0101165771484375,-1.0068206787109375,99.25807189941406,-61.4188232421875,-69.26416015625,2022-09-06 20:00:34.5220,1662465634.522122,0.01882384717464447,-0.07163232564926147,0.19023852050304413,-0.25416597723960876,-0.17367582023143768,-0.9588469862937927,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.5110,1662465634.5108051,-0.00304132996487049,-0.011760519373789916,-0.008448878558276383,-0.00274658203125,-0.0107574462890625,-1.0076904296875,99.2750244140625,-61.670684814453125,-69.02928161621094,2022-09-06 20:00:34.5520,1662465634.55198,0.04727945476770401,-0.09984798729419708,0.20076590776443481,-0.252090722322464,-0.1574861854314804,-0.9473723769187927,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.5110,1662465634.5108051,-0.00304132996487049,-0.011760519373789916,-0.008448878558276383,-0.00274658203125,-0.0107574462890625,-1.0076904296875,99.2750244140625,-61.670684814453125,-69.02928161621094,2022-09-06 20:00:34.5820,1662465634.581636,0.19764180481433868,-0.13391965627670288,0.25517982244491577,-0.23350553214550018,-0.1342623084783554,-0.9369048476219177,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.5280,1662465634.527666,-0.006397179254479338,-0.012708871037967133,-0.008663263026027762,-0.0026702880859375,-0.009765625,-1.0070953369140625,99.36875915527344,-61.57389831542969,-69.72134399414062,2022-09-06 20:00:34.6130,1662465634.612817,0.15011928975582123,-0.1570313721895218,0.24594174325466156,-0.26033052802085876,-0.2000582367181778,-0.9309996962547302,
0,2022-09-06 20:00:34.3440,00:18,60,0,2022-09-06 20:00:34.5280,1662465634.527666,-0.006397179254479338,-0.012708871037967133,-0.008663263026027762,-0.0026702880859375,-0.009765625,-1.0070953369140625,99.36875915527344,-61.57389831542969,-69.72134399414062,2022-09-06 20:00:34.6420,1662465634.641674,-0.04119448363780975,-0.14929914474487305,0.17700906097888947,-0.27612343430519104,-0.18693570792675018,-0.9347838759422302,
